SEX,SCHLCOLL,Arts,Chores,Class,Computer-use,Eating,Fitness,Games,Homework,Reading,Religious,Shopping,Sleepingr,Socializing,TV,Telephone,Travel,Medical-care,Personal-care,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,30,120,0,30,0,0,10,0,0,0,477,140,0,12,107,0,50,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,25,90,0,60,0,0,0,525,0,145,0,60,0,80,,,,,,,,,,,,,,,,,,,,,,,
1,5,120,0,0,0,150,30,0,240,0,0,0,585,0,160,0,60,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,60,0,0,95,0,0,0,0,0,0,600,90,150,0,65,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,70,60,45,0,0,0,0,480,0,120,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,15,30,0,0,160,0,0,10,480,0,0,0,39,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,85,0,120,60,30,0,0,585,98,195,0,95,105,65,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,105,0,0,270,0,60,0,450,255,60,0,195,0,45,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,58,0,60,65,0,0,0,0,0,75,480,0,0,0,265,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,0,225,145,0,0,0,20,690,0,230,0,40,0,90,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,10,0,0,0,0,160,90,497,190,220,0,152,0,50,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,255,30,0,120,375,0,0,0,390,0,240,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,33,180,150,0,0,0,0,835,0,60,0,139,0,8,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,100,450,10,0,0,0,0,0,0,300,100,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,50,0,0,165,0,0,0,0,30,60,420,30,175,0,120,0,50,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,30,0,0,120,0,0,0,545,0,120,0,400,0,15,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,420,0,60,0,0,0,0,0,0,479,0,270,0,150,0,61,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,595,0,10,0,0,180,0,0,0,505,0,0,0,120,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,20,0,0,0,0,137,0,537,573,20,0,68,0,40,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,90,0,0,15,0,0,0,0,120,50,515,299,0,0,115,0,50,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,240,0,0,55,105,0,0,0,0,85,488,0,120,0,130,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,140,10,0,8,35,0,0,1,0,0,25,443,60,0,40,36,0,35,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,420,60,0,0,0,0,0,0,345,0,0,0,30,0,45,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,195,0,30,0,0,0,120,300,195,30,0,184,0,80,,,,,,,,,,,,,,,,,,,,,,,
1,5,120,0,0,0,70,0,135,0,0,0,170,676,100,120,0,49,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,45,30,45,50,0,237,0,0,0,643,240,0,0,68,0,37,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,10,0,382,0,0,0,58,150,3,320,93,80,0,35,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,60,0,0,150,0,0,0,0,0,0,600,0,390,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,45,0,90,0,0,0,0,590,120,90,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,240,0,105,60,0,595,0,0,10,120,0,60,0,170,0,40,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,70,0,180,55,0,0,210,45,0,85,557,120,0,10,38,0,25,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,105,0,0,820,0,0,0,280,0,0,0,50,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,60,0,0,360,0,0,0,480,0,240,0,20,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,15,0,0,234,0,0,0,330,0,0,0,125,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,10,20,0,175,0,0,0,7,536,360,0,0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,30,0,0,180,0,0,0,640,0,0,0,40,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,170,0,45,90,60,180,0,0,0,505,110,175,0,105,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,30,0,0,0,0,0,20,460,0,523,0,100,0,40,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,250,127,0,0,0,90,0,4,420,0,0,0,68,0,20,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,205,0,90,0,0,300,0,0,0,765,0,0,0,60,0,20,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,155,0,174,0,0,180,0,0,0,774,55,0,0,72,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,140,75,0,210,0,0,0,55,300,0,180,0,275,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,10,0,600,120,0,0,0,430,0,60,0,180,0,20,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,255,30,60,0,45,390,0,0,10,390,30,0,0,110,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,210,0,0,90,0,0,120,0,0,230,240,70,335,5,110,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,7,0,30,30,0,0,0,40,0,0,533,3,120,90,95,0,87,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,235,0,165,0,0,0,0,0,0,390,0,0,0,127,0,25,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,375,0,30,0,0,120,0,0,60,480,0,115,0,200,0,45,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,30,0,0,0,0,0,60,780,0,530,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,89,0,0,480,0,0,0,480,0,330,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,120,0,60,90,0,0,0,60,0,405,120,0,0,75,0,0,,,,,,,,,,,,,,,,,,,,,,,
